add,date,amount,price,area,type,age,floor.height,subject,pattern,car,use,lon,lat
臺北市信義區仁愛路四段４３６號五樓,111/06/19,2205,122.1,18.07,住宅大樓(11層含以上有電梯),42,五層/十二層,房地(土地+建物),1房1廳1衛,0,住家用,121.5582564,25.0373241
臺北市信義區中坡南路２６９號四樓,111/06/19,1535,57.1,26.9,公寓(5樓含以下無電梯),39,四層/五層,房地(土地+建物),3房2廳1衛,0,住家用,121.5842486,25.0391085
臺北市信義區逸仙路３２巷１３號七樓,111/06/18,4970,103.8,47.87,華廈(10層含以下有電梯),41,七層/七層,房地(土地+建物),2房2廳2衛,0,住家用,121.5625851,25.0399146
臺北市信義區信義路五段１５０巷３３０號二樓之１,111/06/18,2388,81.9,29.15,住宅大樓(11層含以上有電梯),13,二層/十三層,房地(土地+建物),2房2廳1衛,0,住家用,121.570089,25.0265129
臺北市信義區光復南路４１７巷２２３號五樓,111/06/18,3346,99.7,33.57,華廈(10層含以下有電梯),42,五層/六層,房地(土地+建物),3房2廳2衛,0,住家用,121.5607325,25.0368652
臺北市信義區忠孝東路五段４７１號十一樓之２,111/06/17,6220,123,50.58,住宅大樓(11層含以上有電梯),1,十一層/十五層,房地(土地+建物),4房2廳2衛,0,住家用,121.577129,25.0410119
臺北市信義區松山路１１９巷１弄１６號四樓,111/06/17,900,56.3,15.97,公寓(5樓含以下無電梯),38,四層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.5789758,25.0476723
臺北市信義區松仁路２３２號二樓,111/06/17,2800,81.1,34.51,公寓(5樓含以下無電梯),25,二層/四層,房地(土地+建物),3房2廳2衛,0,住家用,121.569051,25.0252129
臺北市信義區林口街８０巷４號,111/06/15,2000,97.7,20.46,公寓(5樓含以下無電梯),52,一層/四層,房地(土地+建物),3房2廳1衛,0,住家用,121.579516,25.039113
臺北市信義區崇德街６３巷２７號六樓,111/06/14,3855,70.7,54.55,華廈(10層含以下有電梯),13,六層/七層,房地(土地+建物)+車位,2房2廳2衛,0,住家用,121.5549288,25.0251854
臺北市信義區吳興街３６５巷３１號四樓,111/06/14,1410,55,25.65,公寓(5樓含以下無電梯),50,"四層,陽臺/四層",房地(土地+建物),3房2廳2衛,0,住家用,121.5677545,25.0260986
臺北市信義區忠孝東路五段２９５巷１號二樓,111/06/14,2460,76.8,32.01,華廈(10層含以下有電梯),33,二層/七層,房地(土地+建物),4房2廳2衛,0,住家用,121.5723625,25.0414912
臺北市信義區吳興街３２０巷６之１號五樓,111/06/13,1830,62.3,29.39,公寓(5樓含以下無電梯),37,五層/五層,房地(土地+建物),3房2廳1衛,0,住家用,121.565491,25.025905
臺北市信義區松德路１８０巷１號,111/06/13,4750,100.4,47.33,華廈(10層含以下有電梯),33,一層/七層,房地(土地+建物)+車位,3房2廳2衛,0,住家用,121.5741478,25.0352471
臺北市信義區基隆路一段３５０號三樓之１５,111/06/12,1260,102,12.36,公寓(5樓含以下無電梯),49,三層/六層,房地(土地+建物),1房1廳1衛,0,住家用,121.5613641,25.0364786
臺北市信義區中坡南路２２巷７號三樓之１,111/06/12,2000,91,25.87,華廈(10層含以下有電梯),9,三層/七層,房地(土地+建物)+車位,2房1廳1衛,180,住家用,121.5824818,25.0431025
臺北市信義區忠孝東路五段７９０巷３０弄３號四樓,111/06/12,2250,59.5,37.84,公寓(5樓含以下無電梯),41,四層/五層,房地(土地+建物),4房2廳2衛,0,住家用,121.5829884,25.0420415
臺北市信義區吳興街２８４巷２４弄５３號二樓,111/06/12,1680,56.6,29.69,公寓(5樓含以下無電梯),44,二層/五層,房地(土地+建物),5房0廳5衛,0,住家用,121.561976,25.0231619
臺北市信義區中坡南路８６號四樓,111/06/12,2200,53.5,41.12,公寓(5樓含以下無電梯),39,四層/五層,房地(土地+建物),4房2廳2衛,0,住家用,121.5851419,25.0412769
臺北市信義區信安街２０２號四樓,111/06/11,3600,66.4,54.22,華廈(10層含以下有電梯),34,四層/七層,房地(土地+建物),4房2廳2衛,0,住家用,121.5547949,25.0228026
臺北市信義區忠孝東路五段７１巷１１弄３０號三樓,111/06/10,2000,72.4,27.61,公寓(5樓含以下無電梯),50,"三層,陽臺/四層",房地(土地+建物),3房2廳1衛,0,住家用,121.5683011,25.0418209
