add,date,amount,price,area,type,age,floor.height,subject,pattern,car,use,lon,lat
臺北市大同區五原路１９號二樓之２,111/07/12,2410,77.8,30.99,住宅大樓(11層含以上有電梯),13,二層/十四層,房地(土地+建物)+車位,2房2廳1衛,180,住家用,121.517332,25.0566929
臺北市大同區華陰街７９號五樓之３,111/07/11,2598,83.5,31.11,住宅大樓(11層含以上有電梯),9,五層/十三層,房地(土地+建物)+車位,2房1廳1衛,150,住家用,121.5179469,25.0497705
臺北市大同區西寧北路８３號十二樓之１,111/07/11,380,41.7,9.11,住宅大樓(11層含以上有電梯),44,十二層/十二層,房地(土地+建物),1房1廳1衛,0,住家用,121.5091113,25.0560229
臺北市大同區延平北路二段２５５號十二樓之８,111/07/11,1568,60.2,26.05,住宅大樓(11層含以上有電梯),43,十二層/十二層,房地(土地+建物),3房2廳1衛,0,住家用,121.5113578,25.0624347
臺北市大同區承德路三段２０８巷６號十樓之２,111/07/10,690,85.9,8.03,住宅大樓(11層含以上有電梯),15,十層/十一層,房地(土地+建物),0房1廳1衛,0,住家用,121.5180853,25.0703932
臺北市大同區酒泉街１３６號二樓,111/07/06,950,40.6,23.4,公寓(5樓含以下無電梯),51,二層/四層,房地(土地+建物),1房2廳1衛,0,住家用,121.5125405,25.0719742
臺北市大同區重慶北路二段１５３號九樓之１,111/07/05,2232,58.7,38,住宅大樓(11層含以上有電梯),35,九層/十二層,房地(土地+建物),3房2廳2衛,0,住家用,121.513821,25.058447
臺北市大同區迪化街一段２７３號八樓,111/07/05,1320,32.3,40.92,華廈(10層含以下有電梯),30,八層/十層,房地(土地+建物)+車位,4房2廳2衛,0,住家用,121.509364,25.0612659
臺北市大同區涼州街８之１號五樓,111/07/04,2088,52.4,39.84,華廈(10層含以下有電梯),46,五層/六層,房地(土地+建物),3房1廳3衛,0,住家用,121.5151734,25.0609296
臺北市大同區涼州街８之１號六樓,111/07/04,2091,52.5,39.84,華廈(10層含以下有電梯),46,六層/六層,房地(土地+建物),2房2廳2衛,0,住家用,121.5151734,25.0609296
臺北市大同區民權西路１４４巷５弄５號十五樓,111/07/04,2480,67.6,36.68,住宅大樓(11層含以上有電梯),32,十五層/十七層,房地(土地+建物),3房2廳1衛,0,住家用,121.5161357,25.0623664
臺北市大同區安西街４３之２號五樓之５,111/07/04,2220,54,41.12,華廈(10層含以下有電梯),39,五層/九層,房地(土地+建物),4房2廳2衛,0,住家用,121.5100178,25.060297
臺北市大同區民族西路７６巷２５號六樓,111/07/02,1500,88.7,16.9,華廈(10層含以下有電梯),7,六層/八層,房地(土地+建物),2房1廳1衛,0,住家用,121.5178419,25.0677974
臺北市大同區赤峰街３巷１３號五樓,111/07/02,1940,96.3,20.14,華廈(10層含以下有電梯),16,五層/七層,房地(土地+建物),2房1廳1衛,0,住家用,121.5197946,25.0533896
臺北市大同區哈密街５９巷７８弄９號十二樓之３,111/06/30,2500,54,46.29,住宅大樓(11層含以上有電梯),23,十二層/十二層,房地(土地+建物),3房2廳2衛,0,住家用,121.5147791,25.0759193
