add,date,amount,price,area,type,age,floor.height,subject,pattern,car,use,lon,lat
臺北市中山區雙城街３巷１２號九樓,111/01/17,4688,75.4,62.2,住宅大樓(11層含以上有電梯),2,九層/十八層,房地(土地+建物)+車位,3房2廳2衛,0,住家用,121.525114,25.063232
臺北市中山區德惠街３４號十一樓之２,111/01/17,360,52.2,6.9,住宅大樓(11層含以上有電梯),42,十一層/十一層,房地(土地+建物),1房0廳1衛,0,住家用,121.526429,25.0665844
臺北市中山區中山北路一段１２１巷３３號十樓,111/01/16,3150,81.8,49.66,住宅大樓(11層含以上有電梯),11,十層/十四層,房地(土地+建物)+車位,2房2廳1衛,250,住家用,121.5247578,25.0509256
臺北市中山區林森北路３０８號十四樓之１,111/01/16,1418,51.4,27.57,住宅大樓(11層含以上有電梯),12,十四層/十五層,房地(土地+建物)+車位,1房1廳1衛,0,住家用,121.525367,25.056147
臺北市中山區林森北路３０８號十四樓之２,111/01/16,1650,52.4,31.52,住宅大樓(11層含以上有電梯),12,十四層/十五層,房地(土地+建物)+車位,1房1廳1衛,0,住家用,121.525367,25.056147
臺北市中山區林森北路４８１號九樓之６,111/01/16,950,72.6,13.08,住宅大樓(11層含以上有電梯),19,九層/十四層,房地(土地+建物),1房1廳1衛,0,住家用,121.5257278,25.0611307
臺北市中山區林森北路４１３號八樓之５,111/01/16,955,47.8,19.97,住宅大樓(11層含以上有電梯),37,八層/十三層,房地(土地+建物),2房1廳1衛,0,住家用,121.525773,25.059864
臺北市中山區市民大道三段１６９號四樓之３,111/01/16,1225,59.1,20.72,住宅大樓(11層含以上有電梯),14,四層/十三層,房地(土地+建物),1房1廳1衛,0,住家用,121.5405991,25.0448039
臺北市中山區復興北路６６號十一樓,111/01/16,1916,85,22.55,住宅大樓(11層含以上有電梯),43,十一層/十二層,房地(土地+建物),2房2廳1衛,0,住家用,121.5437841,25.0506693
臺北市中山區吉林路２００巷２３號,111/01/16,2227,88.5,25.17,公寓(5樓含以下無電梯),56,一層/四層,房地(土地+建物),3房2廳1衛,0,住家用,121.5292876,25.0585814
臺北市中山區中山北路二段１２８巷９號七樓之２,111/01/16,2230,88.2,37.39,華廈(10層含以下有電梯),10,七層/十層,房地(土地+建物)+車位,1房1廳1衛,250,住家用,121.5215115,25.0618762
臺北市中山區北安路６３０巷２５弄１５號二樓,111/01/15,4150,92.5,50.62,華廈(10層含以下有電梯),28,二層/九層,房地(土地+建物)+車位,5房2廳2衛,250,住家用,121.5504323,25.0836562
臺北市中山區天祥路１６巷１５號四樓之４,111/01/15,880,64.8,13.57,華廈(10層含以下有電梯),51,"四層,露台,走廊/七層",房地(土地+建物),1房1廳1衛,0,住家用,121.5204049,25.0613862
臺北市中山區雙城街４３巷２１號五樓之４,111/01/15,728,64.5,11.28,華廈(10層含以下有電梯),27,五層/六層,房地(土地+建物),1房0廳1衛,0,住家用,121.5251277,25.0675857
臺北市中山區錦西街３１號六樓之２,111/01/15,935.3,67,13.96,華廈(10層含以下有電梯),45,六層/七層,房地(土地+建物),1房1廳1衛,0,住家用,121.5207306,25.0604519
臺北市中山區長春路１９３號十三樓之１,111/01/15,7038,105.4,66.77,住宅大樓(11層含以上有電梯),12,十三層/十四層,房地(土地+建物)+車位,2房2廳2衛,0,住家用,121.538069,25.0549149
臺北市中山區復興北路２８８號十一樓之３,111/01/15,1915,90.6,21.13,住宅大樓(11層含以上有電梯),39,十一層/十四層,房地(土地+建物),1房2廳1衛,0,住家用,121.5438542,25.0590837
臺北市中山區中山北路二段２６巷２４號三樓,111/01/15,2500,76.8,32.54,華廈(10層含以下有電梯),10,三層/五層,房地(土地+建物),2房2廳2衛,0,住家用,121.521153,25.0538923
臺北市中山區五常街１１巷５號九樓之１,111/01/14,3595,93.5,46.7,住宅大樓(11層含以上有電梯),2,九層/十七層,房地(土地+建物)+車位,2房2廳2衛,220,住家用,121.537914,25.064653
臺北市中山區林森北路３０６號十四樓之７,111/01/14,905,66.9,13.52,住宅大樓(11層含以上有電梯),19,十四層/十四層,房地(土地+建物),1房1廳1衛,0,住家用,121.525351,25.0560304
臺北市中山區新生北路三段７６號八樓之１,111/01/14,1020,66.5,15.35,住宅大樓(11層含以上有電梯),40,八層/十一層,房地(土地+建物),1房1廳1衛,0,住家用,121.527397,25.066772
臺北市中山區錦州街４巷１０弄６號,111/01/14,2300,73.4,31.33,公寓(5樓含以下無電梯),52,一層/四層,房地(土地+建物),2房1廳1衛,0,住家用,121.5239808,25.059611
臺北市中山區雙城街１９巷８號十三樓之６、十三樓之７,111/01/14,1690,82.1,20.57,住宅大樓(11層含以上有電梯),14,十三層/十四層,房地(土地+建物),1房1廳1衛,0,住家用,121.5247167,25.0653095
臺北市中山區八德路二段２６７巷９弄８號三樓,111/01/14,1730,60.4,28.63,公寓(5樓含以下無電梯),40,三層/五層,房地(土地+建物),3房1廳1衛,0,住家用,121.5417465,25.0474179
臺北市中山區合江街７３巷３７號七樓,111/01/14,3160,79.4,39.8,華廈(10層含以下有電梯),40,七層/七層,房地(土地+建物),3房2廳2衛,0,住家用,121.5405156,25.058835
臺北市中山區民生東路二段１２７巷１０號五樓,111/01/13,2362,93.3,25.33,華廈(10層含以下有電梯),37,五層/五層,房地(土地+建物),2房2廳2衛,0,住家用,121.5321484,25.0587406
臺北市中山區雙城街１９巷８號八樓之２２,111/01/13,938,84.7,11.07,住宅大樓(11層含以上有電梯),14,八層/十四層,房地(土地+建物),1房1廳1衛,0,住家用,121.5247167,25.0653095
臺北市中山區建國北路一段７０號二樓,111/01/13,2320,76.6,30.28,公寓(5樓含以下無電梯),55,二層/四層,房地(土地+建物),3房1廳2衛,0,住家用,121.5363554,25.0491211
臺北市中山區新生北路三段９３巷１０號,111/01/13,3550,0,33.23,透天厝,56,全/二層,房地(土地+建物),4房2廳2衛,0,住家用,121.528398,25.0676942
臺北市中山區南京東路一段６０號四樓,111/01/13,1423,79.7,17.86,住宅大樓(11層含以上有電梯),21,四層/十一層,房地(土地+建物),3房2廳2衛,0,住家用,121.5248901,25.0517985
臺北市中山區新生北路三段６４號五樓之８,111/01/13,430,49.5,8.69,華廈(10層含以下有電梯),42,五層/十層,房地(土地+建物),1房1廳1衛,0,住家用,121.5273502,25.0658428
臺北市中山區中山北路三段３６巷４號八樓,111/01/13,1900,81.4,23.34,住宅大樓(11層含以上有電梯),32,八層/十二層,房地(土地+建物),2房2廳1衛,0,住家用,121.5217232,25.065654
臺北市中山區民生東路二段８３號六樓之３５,111/01/12,958,68,14.1,華廈(10層含以下有電梯),42,六層/七層,房地(土地+建物),1房1廳1衛,0,住家用,121.530773,25.0581662
臺北市中山區林森北路４０９號十樓,111/01/12,1100,46.7,23.53,住宅大樓(11層含以上有電梯),40,十層/十二層,房地(土地+建物),2房2廳1衛,0,住家用,121.525764,25.0594947
臺北市中山區林森北路１１９巷８８號七樓之１,111/01/11,688,62,11.1,住宅大樓(11層含以上有電梯),33,七層/十二層,房地(土地+建物),0房1廳1衛,0,住家用,121.5278943,25.0502117
