"地段位置或門牌","交易年月","總價","單價","總面積","型態","屋齡","樓別.樓高","交易標的","建物現況格局","車位總價","主要用途","lon","lat"
"臺北市南港區重陽路５０１之５號","111/06/19",4168,62.5,66.69,"華廈(10層含以下有電梯)",16,"一層,二層,屋頂突出物/九層","房地(土地+建物)+車位","5房2廳3衛",0,"住家用",121.6125797,25.0617191
"臺北市南港區中坡南路３１巷８號三樓","111/06/18",2920,96.4,31.67,"華廈(10層含以下有電梯)",2,"三層/六層","房地(土地+建物)+車位","2房1廳1衛",150,"住家用",121.5835026,25.0435364
"臺北市南港區研究院路二段２１９號五樓","111/06/17",1400,46,30.46,"公寓(5樓含以下無電梯)",41,"五層/五層","房地(土地+建物)","4房2廳2衛",0,"住家用",121.6172411,25.0361065
"臺北市南港區忠孝東路六段１３０號七樓之１","111/06/16",1300,102.8,12.65,"住宅大樓(11層含以上有電梯)",11,"七層/十四層","房地(土地+建物)+車位","1房1廳1衛",0,"住家用",121.58538,25.0479614
"臺北市南港區研究院路一段１５７號三樓","111/06/14",1500,54.8,27.39,"公寓(5樓含以下無電梯)",41,"三層/五層","房地(土地+建物)","4房0廳4衛",0,"住家用",121.6157663,25.0504695
"臺北市南港區三重路４１巷３７號六樓之２","111/06/14",5600,67,97.83,"住宅大樓(11層含以上有電梯)",10,"六層/十三層","房地(土地+建物)+車位","4房2廳2衛",500,"住家用",121.6127549,25.060233
"臺北市南港區舊莊街一段２１２巷１６號二樓","111/06/13",1380,46.4,29.74,"華廈(10層含以下有電梯)",6,"二層/五層","房地(土地+建物)+車位","2房1廳2衛",0,"住家用",121.6220688,25.038346
"臺北市南港區成福路２６巷２弄１７號四樓","111/06/13",912.9,51,17.9,"公寓(5樓含以下無電梯)",43,"四層/四層","房地(土地+建物)","2房1廳1衛",0,"住家用",121.5855696,25.0457678
"臺北市南港區研究院路三段８６巷４號四樓","111/06/12",1060,33.6,31.57,"公寓(5樓含以下無電梯)",42,"四層/四層","房地(土地+建物)","3房3廳3衛",0,"住家用",121.6133259,25.0343848
"臺北市南港區玉成街２３５巷２３弄３號五樓","111/06/11",2030,52,39.06,"公寓(5樓含以下無電梯)",38,"五層/五層","房地(土地+建物)","4房2廳2衛",0,"住家用",121.5863331,25.0435723
"臺北市南港區南港路二段８６巷１０弄７號三樓","111/06/10",1300,51.2,25.38,"公寓(5樓含以下無電梯)",38,"三層/五層","房地(土地+建物)","3房2廳2衛",0,"住家用",121.602815,25.054732
"臺北市南港區富康街１３號二樓","111/06/10",2147,53.9,39.86,"公寓(5樓含以下無電梯)",42,"二層/五層","房地(土地+建物)","5房1廳5衛",0,"住家用",121.6174169,25.0539352
"臺北市南港區興南街６４巷６弄１３號三樓之１","111/06/10",1920,67.3,28.55,"住宅大樓(11層含以上有電梯)",28,"三層/十一層","房地(土地+建物)","2房2廳2衛",0,"住家用",121.6015054,25.0556674
"臺北市南港區重陽路５８８號八樓","111/06/08",2420,80.3,36.58,"住宅大樓(11層含以上有電梯)",15,"八層/十二層","房地(土地+建物)+車位","2房2廳1衛",350,"住家用",121.6147102,25.0629879
"臺北市南港區經貿二路２３５巷２２號八樓","111/06/05",3550,97.9,38.08,"華廈(10層含以下有電梯)",8,"八層/十層","房地(土地+建物)+車位","2房2廳1衛",190,"住家用",121.6149703,25.0612505
"臺北市南港區重陽路１９９巷２０號十樓之２","111/06/05",2850,64.4,44.24,"華廈(10層含以下有電梯)",18,"十層/十層","房地(土地+建物)+車位","3房1廳2衛",0,"住家用",121.5990323,25.0567124
"臺北市南港區福德街４４９號十三樓","111/06/05",2150,53.4,40.29,"住宅大樓(11層含以上有電梯)",24,"十三層/十八層","房地(土地+建物)","3房2廳1衛",0,"住家用",121.5930886,25.0393667
"臺北市南港區重陽路３８２號七樓","111/06/03",2918,64.4,45.34,"華廈(10層含以下有電梯)",17,"七層/九層","房地(土地+建物)+車位","3房2廳2衛",0,"住家用",121.6102142,25.0590602
"臺北市南港區八德路四段８９５號十二樓之７","111/06/01",750,58,12.92,"住宅大樓(11層含以上有電梯)",26,"十二層/十六層","房地(土地+建物)","1房1廳1衛",0,"住家用",121.5805881,25.050989
"臺北市南港區中南街１４０之１號三樓","111/06/01",1520,75.6,27.33,"華廈(10層含以下有電梯)",25,"三層/九層","房地(土地+建物)+車位","2房1廳2衛",250,"住家用",121.6151532,25.0520245
"臺北市南港區玉成街１４０巷１弄４號四樓","111/06/01",1566,72.7,21.55,"公寓(5樓含以下無電梯)",42,"四層/五層","房地(土地+建物)","2房2廳1衛",0,"住家用",121.583136,25.0445359
"臺北市南港區重陽路５８８號五樓","111/05/29",2080,80.6,25.79,"住宅大樓(11層含以上有電梯)",15,"五層/十二層","房地(土地+建物)","3房2廳1衛",0,"住家用",121.6147102,25.0629879
"臺北市南港區舊莊街一段２６２巷２弄２號四樓","111/05/29",1200,34.9,34.35,"公寓(5樓含以下無電梯)",37,"四層/五層","房地(土地+建物)","3房2廳2衛",0,"住家用",121.6231808,25.0371184
"臺北市南港區忠孝東路六段４５２號四樓","111/05/28",1350,68.2,19.81,"公寓(5樓含以下無電梯)",48,"四層/四層","房地(土地+建物)","3房1廳1衛",0,"住家用",121.5942468,25.0502679
