"地段位置或門牌","交易年月","總價","單價","總面積","型態","屋齡","樓別.樓高","交易標的","建物現況格局","車位總價","主要用途","lon","lat"
"臺北市松山區撫遠街３８９巷３號三樓","111/05/22",2100,62.7,33.52,"公寓(5樓含以下無電梯)",49,"三層,陽台/四層","房地(土地+建物)","4房2廳2衛","0","住家用",121.5659957,25.0650677
"臺北市松山區復興北路４８９號四樓之７","111/05/21",1170,69,16.97,"住宅大樓(11層含以上有電梯)",15,"四層/十一層","房地(土地+建物)+車位","1房1廳1衛","0","住家用",121.5444774,25.0649764
"臺北市松山區南京東路五段１６３號十一樓之１","111/05/20",3280,85,38.57,"住宅大樓(11層含以上有電梯)",35,"十一層/十六層","房地(土地+建物)","3房2廳2衛","0","住家用",121.5626461,25.0516509
"臺北市松山區南京東路五段２５０巷１８弄１號四樓之３","111/05/20",4300,54.4,79.07,"華廈(10層含以下有電梯)",48,"四層,陽臺/六層","房地(土地+建物)+車位","4房2廳3衛","0","住家用",121.5662306,25.0503171
"臺北市松山區南京東路五段４０之１號十七樓之１","111/05/20",2835,77.5,36.57,"住宅大樓(11層含以上有電梯)",32,"十七層/十九層","房地(土地+建物)","3房2廳2衛","0","住家用",121.5594873,25.051342000000002
"臺北市松山區民生東路四段８０巷１５弄１１號五樓","111/05/20",6190,144.5,53.55,"住宅大樓(11層含以上有電梯)",11,"五層/十四層","房地(土地+建物)+車位","3房2廳2衛","330","住家用",121.5531677,25.0563383
"臺北市松山區南京東路五段６６巷２弄１之１號二樓","111/05/19",1750,83.2,21.04,"華廈(10層含以下有電梯)",42,"二層/六層","房地(土地+建物)","1房1廳2衛","0","住家用",121.560634,25.0508375
"臺北市松山區富錦街３５９巷２弄２０號三樓","111/05/18",150,48,3.12,"公寓(5樓含以下無電梯)",53,"三層,陽臺/四層","房地(土地+建物)","4房2廳2衛","0","住家用",121.559052,25.0611581
"臺北市松山區延吉街４８巷１５號四樓","111/05/18",2970,81.9,43.16,"華廈(10層含以下有電梯)",44,"四層/七層","房地(土地+建物)+車位","2房2廳2衛","250","住家用",121.552871,25.044875
"臺北市松山區南京東路五段２５１巷２２弄３９號三樓","111/05/18",680,60.9,11.17,"公寓(5樓含以下無電梯)",57,"三層/三層","房地(土地+建物)","1房1廳1衛","0","住家用",121.5639928,25.0519662
