amount,price,area,age,car,add,date,type,floor.height,subject,pattern,k
488,64.3,7.58,44,0,臺北市中山區新生北路一段１０８之３號五樓之３,111/10/07,住宅大樓(11層含以上有電梯),五層/十二層,房地(土地+建物),未知,4
1296,60,21.6,40,0,臺北市中山區建國北路二段１４７號十一樓之４,111/10/07,住宅大樓(11層含以上有電梯),十一層/十四層,房地(土地+建物),未知,4
1254,60,20.91,40,0,臺北市中山區建國北路二段１４７號十一樓之３,111/10/07,住宅大樓(11層含以上有電梯),十一層/十四層,房地(土地+建物),未知,4
30,6.6,4.55,49,0,臺北市中山區林森北路１１９巷２號,111/10/05,公寓(5樓含以下無電梯),一層/四層,房地(土地+建物),4房2廳3衛,4
1200,29.3,40.97,28,0,臺北市中山區新生北路二段１１９巷７號二樓,111/10/03,公寓(5樓含以下無電梯),二層/五層,房地(土地+建物)+車位,3房1廳2衛,4
635,54.3,11.69,43,0,臺北市中山區雙城街３２巷５號四樓之４,111/10/01,華廈(10層含以下有電梯),四層/六層,房地(土地+建物),1房1廳1衛,4
1688,60.2,28.05,54,0,臺北市中山區新生北路一段７６巷８號四樓,111/10/01,公寓(5樓含以下無電梯),四層/四層,房地(土地+建物),6房0廳6衛,4
430,37.5,11.45,38,0,臺北市中山區錦州街５０號十二樓之８,111/09/30,住宅大樓(11層含以上有電梯),十二層/十三層,房地(土地+建物),1房1廳1衛,4
600,52.4,11.45,38,0,臺北市中山區錦州街５０號十一樓之７,111/09/28,住宅大樓(11層含以上有電梯),十一層/十三層,房地(土地+建物),2房1廳1衛,4
640,51.9,12.32,42,0,臺北市中山區民生東路一段２５號九樓之８,111/09/26,住宅大樓(11層含以上有電梯),九層/十二層,房地(土地+建物),1房1廳1衛,4
680,55.2,12.32,42,0,臺北市中山區民生東路一段２５號九樓之９,111/09/26,住宅大樓(11層含以上有電梯),九層/十二層,房地(土地+建物),1房1廳1衛,4
1520,55.8,27.22,42,0,臺北市中山區建國北路三段１１３巷１７號四樓,111/09/26,公寓(5樓含以下無電梯),四層/五層,房地(土地+建物),3房2廳1衛,4
470,53,8.87,43,0,臺北市中山區新生北路二段１３３巷１２號二樓之２,111/09/25,華廈(10層含以下有電梯),二層/六層,房地(土地+建物),1房1廳1衛,4
732,58.5,12.51,46,0,臺北市中山區林森北路１３１號九樓之３,111/09/24,華廈(10層含以下有電梯),九層/十層,房地(土地+建物),0房1廳1衛,4
535,64.5,8.29,43,0,臺北市中山區德惠街４５號八樓之７,111/09/23,華廈(10層含以下有電梯),八層/九層,房地(土地+建物),1房0廳1衛,4
