add,date,amount,price,area,type,age,floor.height,subject,pattern,car,use,lon,lat
臺北市中正區羅斯福路二段３０巷１２號三樓,111/09/05,2550,86.8,29.38,公寓(5樓含以下無電梯),38,三層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.5207732,25.0279827
臺北市中正區辛亥路一段８號六樓之３,111/09/05,5380,128.3,41.92,住宅大樓(11層含以上有電梯),4,六層/十五層,房地(土地+建物),3房2廳2衛,0,住家用,121.528263,25.0184074
臺北市中正區羅斯福路一段８３巷２號三樓之１２,111/09/04,1500,138.7,10.81,住宅大樓(11層含以上有電梯),13,三層/十四層,房地(土地+建物),1房1廳1衛,0,住家用,121.5198493,25.03139
臺北市中正區南昌路二段２０３號七樓之３,111/09/04,1040,98.3,10.58,住宅大樓(11層含以上有電梯),17,七層/十一層,房地(土地+建物),1房1廳1衛,0,住家用,121.5233726,25.0251125
臺北市中正區仁愛路一段２３巷１７號四樓,111/09/03,6518,106.8,63.86,華廈(10層含以下有電梯),8,四層/六層,房地(土地+建物)+車位,3房2廳2衛,400,住家用,121.5233861,25.0397952
臺北市中正區愛國東路７４巷２５號五樓之２,111/09/03,1900,123.8,15.35,華廈(10層含以下有電梯),14,五層/八層,房地(土地+建物),1房1廳1衛,0,住家用,121.518999,25.0331401
臺北市中正區同安街４３巷６弄２號四樓,111/09/03,2900,64.2,45.2,公寓(5樓含以下無電梯),36,四層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.5223292,25.0244752
臺北市中正區杭州南路一段１１５號八樓之２,111/09/02,3507.5,80.8,43.41,華廈(10層含以下有電梯),45,八層/十層,房地(土地+建物),4房1廳2衛,0,住家用,121.5249506,25.0370004
臺北市中正區忠孝東路一段８４巷２號六樓之３,111/09/02,2350,133.4,17.62,住宅大樓(11層含以上有電梯),1,六層/十二層,房地(土地+建物),1房1廳1衛,0,住家用,121.5241568,25.0442098
臺北市中正區杭州南路一段１４３巷２９號四樓,111/09/01,2100,37.8,55.54,華廈(10層含以下有電梯),16,四層/七層,房地(土地+建物)+車位,2房2廳2衛,0,住家用,121.5267054,25.0358187
臺北市中正區和平西路一段５９號六樓之１０,111/09/01,1430,116.6,12.26,住宅大樓(11層含以上有電梯),14,六層/十四層,房地(土地+建物),1房1廳1衛,0,住家用,121.5194887,25.026712
臺北市中正區羅斯福路三段１３６號十七樓之１,111/08/31,13200,115.3,114.47,住宅大樓(11層含以上有電梯),1,十七層/二十二層,房地(土地+建物)+車位,3房2廳3衛,0,住家用,121.5282674,25.0203345
臺北市中正區臨沂街５７巷３６號三樓之１,111/08/30,6350,113.8,61.22,華廈(10層含以下有電梯),13,三層/七層,房地(土地+建物)+車位,1房0廳2衛,350,住家用,121.531161,25.0374479
臺北市中正區思源街１２之６號八樓,111/08/29,3350,67.2,49.82,住宅大樓(11層含以上有電梯),22,八層/十二層,房地(土地+建物)+車位,3房2廳2衛,0,住家用,121.5315222,25.0147674
