"add","date","amount","price","area","type","age","floor.height","subject","pattern","car","use","section","lon","lat"
"臺北市北投區三合街一段８２巷７６號七樓","111/01/26",4120,74.1,65.42,"華廈(10層含以下有電梯)",7,"七層/八層","房地(土地+建物)+車位","3房2廳2衛","250","住家用","北投區",121.5046589,25.1287394
"臺北市北投區石牌路二段３１５巷１０弄７之１號五樓","111/01/26",2020,71.2,33.45,"華廈(10層含以下有電梯)",15,"五層/十層","房地(土地+建物)+車位","2房2廳1衛","250","住家用","北投區",121.5224826,25.1226939
"臺北市北投區中央北路二段３５０巷７６號九樓","111/01/25",2600,46.9,55.47,"住宅大樓(11層含以上有電梯)",7,"九層/十四層","房地(土地+建物)+車位","3房2廳2衛","0","住家用","北投區",121.4886382,25.1386694
"臺北市北投區溫泉路３７巷３０號三樓","111/01/25",780,39.5,19.74,"住宅大樓(11層含以上有電梯)",16,"三層/十三層","房地(土地+建物)+車位","1房0廳1衛","0","住家用","北投區",121.5036248,25.1341312
"臺北市北投區公舘路２８０號三樓","111/01/25",2120,44.7,47.39,"公寓(5樓含以下無電梯)",37,"三層/五層","房地(土地+建物)","4房2廳2衛","0","住家用","北投區",121.5074148,25.1251977
"臺北市北投區中和街３６６號八樓之６","111/01/24",800,25.9,30.85,"住宅大樓(11層含以上有電梯)",24,"八層,電梯樓梯間/十九層","房地(土地+建物)","3房2廳1衛","0","住家用","北投區",121.4995017,25.1417863
"臺北市北投區石牌路二段３１５巷２８弄１８號十三樓","111/01/24",4652,62.1,74.9,"住宅大樓(11層含以上有電梯)",6,"十三層/十五層","房地(土地+建物)+車位","3房2廳2衛","250","住家用","北投區",121.5229198,25.1233484
"臺北市北投區幽雅路７號十三樓","111/01/23",1360,41.2,33.03,"住宅大樓(11層含以上有電梯)",13,"十三層/十三層","房地(土地+建物)+車位","1房1廳1衛","0","住家用","北投區",121.5134154,25.1372467
"臺北市北投區溫泉路７１號六樓之２３","111/01/23",340,41.3,8.24,"華廈(10層含以下有電梯)",41,"六層/七層","房地(土地+建物)","1房1廳1衛","0","住家用","北投區",121.504815,25.135703
"臺北市北投區珠海路１９０號二樓","111/01/23",980,32.8,29.88,"公寓(5樓含以下無電梯)",40,"二層/五層","房地(土地+建物)","3房2廳2衛","0","住家用","北投區",121.512196,25.142621
"臺北市北投區中山路２８之６號四樓","111/01/23",800,33.4,23.93,"華廈(10層含以下有電梯)",40,"四層/八層","房地(土地+建物)","1房1廳1衛","0","住家用","北投區",121.5104059,25.1372079
"臺北市北投區公舘路５５號四樓之１","111/01/23",2560,52.3,48.91,"華廈(10層含以下有電梯)",11,"四層/十層","房地(土地+建物)+車位","3房2廳2衛","0","住家用","北投區",121.5036536,25.1327652
"臺北市北投區溫泉路６８巷１４號","111/01/22",2500,53.2,46.95,"公寓(5樓含以下無電梯)",37,"一層/五層","房地(土地+建物)","4房2廳4衛","0","住家用","北投區",121.505912,25.134639
"臺北市北投區清江路７７巷２號五樓","111/01/22",1700,48.6,34.98,"公寓(5樓含以下無電梯)",43,"五層/五層","房地(土地+建物)","5房3廳3衛","0","住家用","北投區",121.5020559,25.1300315
"臺北市北投區中和街５０９號六樓之１","111/01/22",950,46,20.65,"華廈(10層含以下有電梯)",27,"六層/六層","房地(土地+建物)","2房1廳1衛","0","住家用","北投區",121.4942474,25.1451969
"臺北市北投區明德路２９６號七樓","111/01/22",1700,89,23.7,"華廈(10層含以下有電梯)",6,"七層/九層","房地(土地+建物)+車位","1房2廳1衛","180","住家用","北投區",121.5224474,25.1151641
"臺北市北投區奇岩路６之７號四樓","111/01/22",370,35.8,10.33,"華廈(10層含以下有電梯)",40,"四層/六層","房地(土地+建物)","1房1廳1衛","0","住家用","北投區",121.507231,25.134147
"臺北市北投區新民路７６之６號三樓","111/01/21",800,43.2,18.51,"華廈(10層含以下有電梯)",9,"三層/五層","房地(土地+建物)","1房1廳1衛","0","住家用","北投區",121.5120425,25.1404887
"臺北市北投區石牌路二段３１５巷２８弄１４之２號二樓","111/01/21",2258,47.6,47.4,"華廈(10層含以下有電梯)",40,"二層/六層","房地(土地+建物)","4房2廳2衛","0","住家用","北投區",121.5229131,25.123169
"臺北市北投區致遠一路二段６５號二樓","111/01/20",1670,57.3,29.17,"公寓(5樓含以下無電梯)",38,"二層/五層","房地(土地+建物)","3房2廳1衛","0","住家用","北投區",121.5132628,25.112383
"臺北市北投區三合街一段７３號八樓","111/01/20",6668,59.6,111.85,"華廈(10層含以下有電梯)",7,"八層/九層","房地(土地+建物)+車位","2房2廳2衛","0","住家用","北投區",121.5046799,25.12685
"臺北市北投區泉源路３９之５３號三樓","111/01/20",500,29.3,17.09,"華廈(10層含以下有電梯)",35,"三層/七層","房地(土地+建物)","1房1廳1衛","0","住家用","北投區",121.5071767,25.141508
"臺北市北投區明德路１３６巷１８號四樓","111/01/19",1800,44.3,40.61,"公寓(5樓含以下無電梯)",36,"四層/五層","房地(土地+建物)","3房2廳2衛","0","住家用","北投區",121.5212473,25.1096874
"臺北市北投區大業路２９８號四樓之１","111/01/19",3600,64.5,55.79,"住宅大樓(11層含以上有電梯)",22,"四層/十一層","房地(土地+建物)","4房2廳2衛","0","住家用","北投區",121.4981178,25.1279197
"臺北市北投區致遠二路７１巷４號三樓","111/01/19",1710,64.8,26.39,"公寓(5樓含以下無電梯)",45,"三層,陽臺/四層","房地(土地+建物)","3房2廳1衛","0","住家用","北投區",121.5112852,25.1156713
"臺北市北投區西安街一段３６３號二樓","111/01/18",1928,69.4,27.77,"公寓(5樓含以下無電梯)",44,"二層/四層","房地(土地+建物)","3房2廳1衛","0","住家用","北投區",121.5151809,25.1143745
"臺北市北投區中山路４７號五樓之８","111/01/18",545,27.7,19.7,"住宅大樓(11層含以上有電梯)",38,"五層/十二層","房地(土地+建物)","1房2廳1衛","0","住家用","北投區",121.5116337,25.1385722
"臺北市北投區文化三路１６６號五樓","111/01/18",1680,58.7,28.63,"華廈(10層含以下有電梯)",3,"五層/十層","房地(土地+建物)","2房2廳1衛","0","住家用","北投區",121.4987806,25.1396131
"臺北市北投區公舘路１８７巷１０號","111/01/17",1210,35.5,34.05,"公寓(5樓含以下無電梯)",47,"一層,平台/四層","房地(土地+建物)","3房2廳2衛","0","住家用","北投區",121.507446,25.128776
"臺北市北投區中山路４５號二樓之５","111/01/17",388,36.9,10.53,"公寓(5樓含以下無電梯)",38,"二層/四層","房地(土地+建物)","1房1廳1衛","0","住家用","北投區",121.5116276,25.1385936
"臺北市北投區大興街２３巷２５號二樓","111/01/17",1400,39.9,35.09,"公寓(5樓含以下無電梯)",39,"二層/五層","房地(土地+建物)","1房1廳2衛","0","住家用","北投區",121.4980603,25.130705
"臺北市北投區文化三路６３號四樓","111/01/17",1380,38.6,35.71,"華廈(10層含以下有電梯)",36,"四層/七層","房地(土地+建物)","3房2廳2衛","0","住家用","北投區",121.4981681,25.13957
"臺北市北投區立農街一段２０５號八樓","111/01/17",4160,57.3,72.62,"住宅大樓(11層含以上有電梯)",10,"八層/十一層","房地(土地+建物)+車位","3房2廳2衛","500","住家用","北投區",121.5044351,25.120071
"臺北市北投區新民路７６之３號二樓","111/01/16",998,44.8,22.25,"華廈(10層含以下有電梯)",9,"二層/五層","房地(土地+建物)+車位","1房1廳1衛","0","住家用","北投區",121.5120425,25.1404887
"臺北市北投區溫泉路３７巷２６號八樓之９","111/01/16",905,56.8,15.94,"住宅大樓(11層含以上有電梯)",16,"八層/十三層","房地(土地+建物)","1房2廳2衛","0","住家用","北投區",121.5028382,25.1349081
"臺北市北投區溫泉路７３巷６號三樓之２","111/01/16",868,44.1,21.87,"住宅大樓(11層含以上有電梯)",12,"三層/十二層","房地(土地+建物)+車位","2房0廳1衛","110","住家用","北投區",121.5058341,25.1356057
"臺北市北投區石牌路一段１６６巷２８號二樓","111/01/16",2135,78.9,27.07,"華廈(10層含以下有電梯)",7,"二層/九層","房地(土地+建物)+車位","3房2廳2衛","0","住家用","北投區",121.513743,25.113982
"臺北市北投區中山路１之７號四樓之６","111/01/16",677,47.5,14.24,"華廈(10層含以下有電梯)",44,"四層/八層","房地(土地+建物)","1房1廳1衛","0","住家用","北投區",121.5057966,25.1371124
